YEAR,MONTH,DAY,TOTAL
2015,Sep,7,115.33
2015,Sep,8,115.97
2015,Sep,9,116.52
2015,Sep,10,113.35
2015,Sep,11,112.64
2015,Sep,12,113.19
2015,Sep,13,113.86
2015,Sep,14,114.29
2015,Sep,15,114.9
2015,Sep,16,114.49
2015,Sep,17,110.27
2015,Sep,18,108.36
2015,Sep,19,109.09
2015,Sep,20,109.72
2015,Sep,21,110.66
2015,Sep,22,111.31
2015,Sep,23,111.09
2015,Sep,24,111.89
2015,Sep,25,112.88
2015,Sep,26,112.55
2015,Sep,27,113.07
2015,Sep,28,113.61
2015,Sep,29,114.92
2015,Oct,1,115.49
2015,Oct,2,116.12
2015,Oct,3,116.73
2015,Oct,4,116.38
2015,Oct,5,116.91
2015,Oct,6,116.7
2015,Oct,7,115.5
2015,Oct,8,110.9
2015,Oct,9,111.48
2015,Oct,10,113.58
2015,Oct,11,114.12
2015,Oct,12,110.93
2015,Oct,13,111.75
2015,Oct,14,112.3
2015,Oct,15,112.83
2015,Oct,16,113.31
2015,Oct,17,112.9
2015,Oct,18,113.33
2015,Oct,19,113.79
2015,Oct,20,114.25
2015,Oct,21,114.64
2015,Oct,22,115.19
2015,Oct,23,115.47
2015,Oct,24,112.9
2015,Oct,25,113.54
2015,Oct,26,114.01
2015,Oct,28,115.13
2015,Oct,29,115.48
2015,Oct,30,115.08
2015,Oct,31,115.68
2015,Nov,1,115.41
2015,Nov,2,107.73
2015,Nov,3,108.28
2015,Nov,4,108.93
2015,Nov,5,109.51
2015,Nov,6,110.63
2015,Nov,7,110.86
2015,Nov,8,111.16
2015,Nov,9,111.13
2015,Nov,10,111.89
2015,Nov,11,112.4
2015,Nov,12,112.92
2015,Nov,13,113.46
2015,Nov,14,115.22
2015,Nov,15,115.81
2015,Nov,16,116.53
2015,Nov,17,117.74
2015,Nov,18,118.79
2015,Nov,19,119.07
2015,Nov,20,119.35
2015,Nov,21,119.85
2015,Nov,22,120.23
2015,Nov,23,120.71
2015,Nov,24,121.16
2015,Nov,25,114.54
2015,Nov,26,113.47
2015,Nov,27,114.08
2015,Nov,28,112.8
2015,Nov,29,113.14
2015,Nov,30,113.45
2015,Dec,1,112.98
2015,Dec,2,113.52
2015,Dec,3,114.12
2015,Dec,4,117.12
2015,Dec,5,118.48
2015,Dec,6,119.42
2015,Dec,7,120.37
2015,Dec,8,119.47
2015,Dec,9,120.8
2015,Dec,10,121.74
2015,Dec,11,106.08
2015,Dec,12,106.34
2015,Dec,13,106.42
2015,Dec,14,105.78
2015,Dec,15,106.8
2015,Dec,16,108.01
2015,Dec,17,109.05
2015,Dec,18,108.28
2015,Dec,19,108.87
2015,Dec,20,110.03
2015,Dec,21,106.93
2015,Dec,22,107.63
2015,Dec,23,104.55
2015,Dec,24,105.65
2015,Dec,25,106.62
2015,Dec,26,107.44
2015,Dec,27,106.28
2015,Dec,28,107.15
2015,Dec,29,108
2015,Dec,30,109.05
2015,Dec,31,108.92
2016,Jan,1,109.35
2016,Jan,2,110.39
2016,Jan,3,111.29
2016,Jan,4,112.22
2016,Jan,5,112.27
2016,Jan,6,113.45
2016,Jan,7,111.85
2016,Jan,8,112.88
2016,Jan,9,108.54
2016,Jan,10,109.39
2016,Jan,11,107.12
2016,Jan,12,106.21
2016,Jan,13,107.13
2016,Jan,14,108.14
2016,Jan,15,107.15
2016,Jan,16,108.41
2016,Jan,17,109.28
2016,Jan,18,110.08
2016,Jan,19,111.05
2016,Jan,20,112.15
2016,Jan,21,112.93
2016,Jan,22,113.93
2016,Jan,23,114.79
2016,Jan,24,115.75
2016,Jan,25,116.65
2016,Jan,26,117.60
